Methode;Positie;Staal ID;Projectnummer;NA;NA;NA;NA;NA;NA;Volume
Controle pH5;1;RF;;;;;;;;75
Controle pH9;2;RF;;;;;;;;75
pH-EC-bodem;3;RF;;;;;;;;50
pH-EC-bodem;4;PB;;;;;;;;50
pH-EC-bodem;5;RF;;;;;;;;50
pH-EC-bodem;6;RF;;;;;;;;50
pH-EC-bodem;7;SP;;;;;;;;50
pH-EC-bodem;8;SP;;;;;;;;50
pH-EC-bodem;9;SP;;;;;;;;50
pH-EC-bodem;10;SP;;;;;;;;50
pH-EC-bodem;11;SP;;;;;;;;50
pH-EC-bodem;12;SP;;;;;;;;50
pH-EC-bodem;13;SP;;;;;;;;50
pH-EC-bodem;14;SP;;;;;;;;50
pH-EC-bodem;15;SP;;;;;;;;50
pH-EC-bodem;16;SP;;;;;;;;50
pH-EC-bodem;17;SP;;;;;;;;50
pH-EC-bodem;18;SP;;;;;;;;50
pH-EC-bodem;19;SP;;;;;;;;50
pH-EC-bodem;20;SP;;;;;;;;50
pH-EC-bodem;1;SP;;;;;;;;50
pH-EC-bodem;2;SP;;;;;;;;50
pH-EC-bodem;3;RF;;;;;;;;50
pH-EC-bodem;4;PB;;;;;;;;50
pH-EC-bodem;5;RF;;;;;;;;50
pH-EC-bodem;6;RF;;;;;;;;50
pH-EC-bodem;7;SP;;;;;;;;50
pH-EC-bodem;8;SP;;;;;;;;50
pH-EC-bodem;9;SP;;;;;;;;50
pH-EC-bodem;10;SP;;;;;;;;50
pH-EC-bodem;11;SP;;;;;;;;50
pH-EC-bodem;12;SP;;;;;;;;50
pH-EC-bodem;13;SP;;;;;;;;50
pH-EC-bodem;14;SP;;;;;;;;50
pH-EC-bodem;15;SP;;;;;;;;50
pH-EC-bodem;16;SP;;;;;;;;50
pH-EC-bodem;17;SP;;;;;;;;50
pH-EC-bodem;18;SP;;;;;;;;50
pH-EC-bodem;19;SP;;;;;;;;50
pH-EC-bodem;20;SP;;;;;;;;50
pH-EC-bodem;1;SP;;;;;;;;50
pH-EC-bodem;2;SP;;;;;;;;50
pH-EC-bodem;3;RF;;;;;;;;50
