Positie;Method;SampleID;SVOL(g)
1;ORGANISM(SOLID);Blanco;200
1;ORGANISM(SOLID);Blanco;200
1;ORGANISM(SOLID);Blanco;200
2;ORGANISM(SOLID);ST;
3;ORGANISM(SOLID);ST;
4;ORGANISM(SOLID);PB;
5;ORGANISM(SOLID);RF;
6;ORGANISM(SOLID);RF;
7;ORGANISM(SOLID);SP;
8;ORGANISM(SOLID);SP;
9;ORGANISM(SOLID);SP;
10;ORGANISM(SOLID);SP;
11;ORGANISM(SOLID);SP;
12;ORGANISM(SOLID);SP;
13;ORGANISM(SOLID);SP;
14;ORGANISM(SOLID);SP;
15;ORGANISM(SOLID);SP;
16;ORGANISM(SOLID);SP;
17;ORGANISM(SOLID);SP;
18;ORGANISM(SOLID);SP;
19;ORGANISM(SOLID);SP;
20;ORGANISM(SOLID);SP;
21;ORGANISM(SOLID);SP;
22;ORGANISM(SOLID);SP;
23;ORGANISM(SOLID);SP;
24;ORGANISM(SOLID);SP;
25;ORGANISM(SOLID);SP;
26;ORGANISM(SOLID);SP;
27;ORGANISM(SOLID);SP;
28;ORGANISM(SOLID);SP;
29;ORGANISM(SOLID);SP;
30;ORGANISM(SOLID);SP;
31;ORGANISM(SOLID);SP;
32;ORGANISM(SOLID);SP;
33;ORGANISM(SOLID);SP;
34;ORGANISM(SOLID);SP;
35;ORGANISM(SOLID);PB;
36;ORGANISM(SOLID);RF;
37;ORGANISM(SOLID);RF;
38;ORGANISM(SOLID);SP;
39;ORGANISM(SOLID);SP;
40;ORGANISM(SOLID);SP;
41;ORGANISM(SOLID);SP;
42;ORGANISM(SOLID);SP;
43;ORGANISM(SOLID);SP;
44;ORGANISM(SOLID);SP;
45;ORGANISM(SOLID);SP;
46;ORGANISM(SOLID);SP;
47;ORGANISM(SOLID);SP;
48;ORGANISM(SOLID);SP;
49;ORGANISM(SOLID);SP;
50;ORGANISM(SOLID);SP;
51;ORGANISM(SOLID);SP;
52;ORGANISM(SOLID);SP;
53;ORGANISM(SOLID);SP;
54;ORGANISM(SOLID);SP;
55;ORGANISM(SOLID);SP;
56;ORGANISM(SOLID);SP;
57;ORGANISM(SOLID);SP;
58;ORGANISM(SOLID);SP;
59;ORGANISM(SOLID);SP;
60;ORGANISM(SOLID);SP;
61;ORGANISM(SOLID);SP;
62;ORGANISM(SOLID);SP;
63;ORGANISM(SOLID);SP;
64;ORGANISM(SOLID);SP;
65;ORGANISM(SOLID);SP;
66;ORGANISM(SOLID);PB;
67;ORGANISM(SOLID);RF;
68;ORGANISM(SOLID);RF;
69;ORGANISM(SOLID);SP;
70;ORGANISM(SOLID);SP;
71;ORGANISM(SOLID);SP;
72;ORGANISM(SOLID);SP;
73;ORGANISM(SOLID);SP;
74;ORGANISM(SOLID);SP;
75;ORGANISM(SOLID);SP;
76;ORGANISM(SOLID);SP;
77;ORGANISM(SOLID);SP;
78;ORGANISM(SOLID);SP;
79;ORGANISM(SOLID);SP;
80;ORGANISM(SOLID);SP;
81;ORGANISM(SOLID);SP;
82;ORGANISM(SOLID);SP;
83;ORGANISM(SOLID);SP;
84;ORGANISM(SOLID);SP;
85;ORGANISM(SOLID);SP;
86;ORGANISM(SOLID);SP;
87;ORGANISM(SOLID);SP;
88;ORGANISM(SOLID);SP;
89;ORGANISM(SOLID);SP;
90;ORGANISM(SOLID);SP;
91;ORGANISM(SOLID);SP;
92;ORGANISM(SOLID);SP;
93;ORGANISM(SOLID);SP;
94;ORGANISM(SOLID);SP;
95;ORGANISM(SOLID);SP;
96;ORGANISM(SOLID);SP;
97;ORGANISM(SOLID);RF;
98;ORGANISM(SOLID);RF;
99;ORGANISM(SOLID);PB;
