Method;Positie;Staal ID;Projectnummer;NA;NA;NA;NA;NA;NA;Volume (ml)
Controle pH5;;RF;;;;;;;;75
Controle pH9;;RF;;;;;;;;75
Controle EC84;;RF;;;;;;;;75
Controle EC1413;;RF;;;;;;;;75
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;PB;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;PB;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;PB;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;PB;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;PB;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;PB;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;SP;;;;;;;;50
pH-EC bodem;;RF;;;;;;;;50
Controle pH5;;RF;;;;;;;;75
Controle pH9;;RF;;;;;;;;75
Controle EC84;;RF;;;;;;;;75
Controle EC1413;;RF;;;;;;;;75
