Method;Staal ID;Titer;Positie;Projectnummer;Volume (ml)
Controle EC84;RF;;;;75
Controle pH5;RF;;;;75
TEP-pH-EC;PB;0,01;;;75
TEP-pH-EC;PB;0,01;;;75
TEP-pH-EC;RF;0,01;;;75
TEP-pH-EC;RF;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;PB;0,01;;;75
TEP-pH-EC;RF;0,01;;;75
TEP-pH-EC;RF;0,01;;;75
Controle pH5;RF;;;;75
Controle EC84;RF;;;;75
Controle pH5;RF;;;;75
Controle EC84;RF;;;;75
TEP-pH-EC;PB;0,01;;;75
TEP-pH-EC;PB;0,01;;;75
TEP-pH-EC;RF;0,01;;;75
TEP-pH-EC;RF;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;SP;0,01;;;75
TEP-pH-EC;PB;0,01;;;75
TEP-pH-EC;RF;0,01;;;75
TEP-pH-EC;RF;0,01;;;75
Controle EC84;RF;;;;75
Controle pH5;RF;;;;75
