Positie;Type;SampleID;Projectnummer;GroupNo;Man-DIL;AcidPos;Pre-DIL
A1;U;SB;;;1;A0;1
A2;U;PB;;;1;A0;1
A3;U;RF;;;1;A0;1
A4;U;RF;;;1;A0;1
A5;U;RF;;;1;A0;1
A6;U;SP;;;1;A0;1
A7;U;SP;;;1;A0;1
A8;U;SP;;;1;A0;1
A9;U;SP;;;1;A0;1
A10;U;SP;;;1;A0;1
A11;U;SP;;;1;A0;1
A12;U;SP;;;1;A0;1
A13;U;SP;;;1;A0;1
A14;U;SP;;;1;A0;1
A15;U;SP;;;1;A0;1
A16;U;SP;;;1;A0;1
A17;U;SP;;;1;A0;1
A18;U;SP;;;1;A0;1
A19;U;SP;;;1;A0;1
A20;U;PB;;;1;A0;1
A21;U;RF;;;1;A0;1
A22;U;RF;;;1;A0;1
A23;U;SP;;;1;A0;1
A24;U;SP;;;1;A0;1
A25;U;SP;;;1;A0;1
A26;U;SP;;;1;A0;1
A27;U;SP;;;1;A0;1
A28;U;SP;;;1;A0;1
A29;U;SP;;;1;A0;1
A30;U;SP;;;1;A0;1
A31;U;SP;;;1;A0;1
A32;U;SP;;;1;A0;1
A33;U;SP;;;1;A0;1
A34;U;SP;;;1;A0;1
A35;U;SP;;;1;A0;1
A36;U;SP;;;1;A0;1
A37;U;SP;;;1;A0;1
A38;U;PB;;;1;A0;1
A39;U;RF;;;1;A0;1
A40;U;RF;;;1;A0;1
A41;U;SP;;;1;A0;1
A42;U;SP;;;1;A0;1
A43;U;SP;;;1;A0;1
A44;U;SP;;;1;A0;1
A45;U;SP;;;1;A0;1
A46;U;SP;;;1;A0;1
A47;U;SP;;;1;A0;1
A48;U;SP;;;1;A0;1
A49;U;SP;;;1;A0;1
A50;U;SP;;;1;A0;1
A51;U;SP;;;1;A0;1
A52;U;SP;;;1;A0;1
A53;U;SP;;;1;A0;1
A54;U;SP;;;1;A0;1
A55;U;SP;;;1;A0;1
A56;U;PB;;;1;A0;1
A57;U;RF;;;1;A0;1
A58;U;RF;;;1;A0;1
A59;U;SP;;;1;A0;1
A60;U;SP;;;1;A0;1
A61;U;SP;;;1;A0;1
A62;U;SP;;;1;A0;1
A63;U;SP;;;1;A0;1
A64;U;SP;;;1;A0;1
A65;U;SP;;;1;A0;1
A66;U;SP;;;1;A0;1
A67;U;SP;;;1;A0;1
A68;U;SP;;;1;A0;1
A69;U;SP;;;1;A0;1
A70;U;SP;;;1;A0;1
A71;U;SP;;;1;A0;1
A72;U;SP;;;1;A0;1
A73;U;SP;;;1;A0;1
A74;U;PB;;;1;A0;1
A75;U;RF;;;1;A0;1
A76;U;RF;;;1;A0;1
A77;U;SP;;;1;A0;1
A78;U;SP;;;1;A0;1
A79;U;SP;;;1;A0;1
A80;U;SP;;;1;A0;1
A81;U;SP;;;1;A0;1
A82;U;SP;;;1;A0;1
A83;U;SP;;;1;A0;1
A84;U;SP;;;1;A0;1
A85;U;SP;;;1;A0;1
A86;U;SP;;;1;A0;1
A87;U;SP;;;1;A0;1
A88;U;SP;;;1;A0;1
A89;U;SP;;;1;A0;1
A90;U;SP;;;1;A0;1
A91;U;SP;;;1;A0;1
A92;U;PB;;;1;A0;1
A93;U;RF;;;1;A0;1
A94;U;RF;;;1;A0;1
A95;U;SP;;;1;A0;1
A96;U;SP;;;1;A0;1
A97;U;SP;;;1;A0;1
A98;U;SP;;;1;A0;1
A99;U;SP;;;1;A0;1
A100;U;SP;;;1;A0;1
A101;U;SP;;;1;A0;1
A102;U;SP;;;1;A0;1
A103;U;SP;;;1;A0;1
A104;U;SP;;;1;A0;1
A105;U;SP;;;1;A0;1
A106;U;SP;;;1;A0;1
A107;U;SP;;;1;A0;1
A108;U;SP;;;1;A0;1
A109;U;SP;;;1;A0;1
A110;U;PB;;;1;A0;1
A111;U;RF;;;1;A0;1
A112;U;RF;;;1;A0;1
A113;U;RF;;;1;A0;1
A114;E;Empty Cups;;;1;A0;1
A115;E;Empty Cups;;;1;A0;1
A116;E;Empty Cups;;;1;A0;1
A117;E;Empty Cups;;;1;A0;1
A118;E;Empty Cups;;;1;A0;1
A119;E;Empty Cups;;;1;A0;1
A120;E;Empty Cups;;;1;A0;1
A121;E;Empty Cups;;;1;A0;1
A122;E;Empty Cups;;;1;A0;1
A123;E;Empty Cups;;;1;A0;1
A124;E;Empty Cups;;;1;A0;1
A125;E;Empty Cups;;;1;A0;1
A126;E;Empty Cups;;;1;A0;1
A127;E;Empty Cups;;;1;A0;1
A128;E;Empty Cups;;;1;A0;1
A129;E;Empty Cups;;;1;A0;1
A130;E;Empty Cups;;;1;A0;1
A131;E;Empty Cups;;;1;A0;1
A132;E;Empty Cups;;;1;A0;1
A133;E;Empty Cups;;;1;A0;1
A134;E;Empty Cups;;;1;A0;1
A135;E;Empty Cups;;;1;A0;1
A136;E;Empty Cups;;;1;A0;1
A137;E;Empty Cups;;;1;A0;1
A138;E;Empty Cups;;;1;A0;1
A139;E;Empty Cups;;;1;A0;1
A140;E;Empty Cups;;;1;A0;1
A141;E;Empty Cups;;;1;A0;1
A142;E;Empty Cups;;;1;A0;1
A143;E;Empty Cups;;;1;A0;1
A144;E;Empty Cups;;;1;A0;1
A145;E;Empty Cups;;;1;A0;1
A146;E;Empty Cups;;;1;A0;1
A147;E;Empty Cups;;;1;A0;1
A148;E;Empty Cups;;;1;A0;1
A149;E;Empty Cups;;;1;A0;1
A150;E;Empty Cups;;;1;A0;1
