Positie;Type;SampleID;Projectnummer;Weight(mg)
A1;U;BL;;500
A2;U;BL;;500
A3;U;PB;;500
A4;U;RF;;0
A5;U;RF;;0
A6;U;RF;;0
A7;U;SP;;0
A8;U;SP;;0
A9;U;SP;;0
A10;U;SP;;0
A11;U;SP;;0
A12;U;SP;;0
A13;U;SP;;0
A14;U;SP;;0
A15;U;SP;;0
A16;U;SP;;0
A17;U;SP;;0
A18;U;SP;;0
A19;U;SP;;0
A20;U;SP;;0
A21;U;SP;;0
A22;U;SP;;0
A23;U;SP;;0
A24;U;SP;;0
A25;U;SP;;0
A26;U;SP;;0
A27;U;SP;;0
A28;U;SP;;0
A29;U;SP;;0
A30;U;SP;;0
A31;U;SP;;0
A32;U;SP;;0
A33;U;SP;;0
A34;U;SP;;0
A35;U;SP;;0
A36;U;SP;;0
A37;U;SP;;0
A38;U;SP;;0
A39;U;SP;;0
A40;U;SP;;0
A41;U;SP;;0
A42;U;SP;;0
A43;U;SP;;0
A44;U;SP;;0
A45;U;SP;;0
A46;U;SP;;0
A47;U;SP;;0
A48;U;SP;;0
A49;U;SP;;0
A50;U;SP;;0
A51;U;PB;;500
A52;U;RF;;0
A53;U;SP;;0
A54;U;SP;;0
A55;U;SP;;0
A56;U;SP;;0
A57;U;SP;;0
A58;U;SP;;0
A59;U;SP;;0
A60;U;SP;;0
A61;U;SP;;0
A62;U;SP;;0
A63;U;SP;;0
A64;U;SP;;0
A65;U;SP;;0
A66;U;SP;;0
A67;U;SP;;0
A68;U;SP;;0
A69;U;SP;;0
A70;U;SP;;0
A71;U;SP;;0
A72;U;SP;;0
A73;U;SP;;0
A74;U;SP;;0
A75;U;SP;;0
A76;U;SP;;0
A77;U;SP;;0
A78;U;SP;;0
A79;U;SP;;0
A80;U;SP;;0
A81;U;SP;;0
A82;U;SP;;0
A83;U;SP;;0
A84;U;SP;;0
A85;U;SP;;0
A86;U;SP;;0
A87;U;SP;;0
A88;U;SP;;0
A89;U;SP;;0
A90;U;SP;;0
A91;U;SP;;0
A92;U;SP;;0
A93;U;SP;;0
A94;U;SP;;0
A95;U;SP;;0
A96;U;SP;;0
A97;U;PB;;500
A98;U;RF;;0
