Method;Positie;Staal ID;Projectnummer;Titer;Volume (ml);;
Controle EC84;;RF-EC84;;;75;;
Controle EC1413;;RF-EC1413;;;75;;
Controle pH5;;RF-pH5;;;75;;
Controle pH9;;RF-pH9;;;75;;
pH-EC-bodem;;RF-FSCC;;;50;;
pH-EC-bodem;;PB;;;50;;
pH-EC-bodem;;RF;;;50;;
pH-EC-bodem;;RF;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;RF-FSCC;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;RF-FSCC;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;RF-FSCC;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;RF-FSCC;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;SP;;;50;;
pH-EC-bodem;;RF-FSCC;;;50;;
Controle EC84;;RF-EC84;;;75;;
Controle EC1413;;RF-EC1413;;;75;;
Controle pH5;;RF-pH5;;;75;;
Controle pH9;;RF-pH9;;;75;;
