Method;Positie;Staal ID;Projectnummer;Titer;NA;NA;NA;NA;NA;Volume (ml)
Controle EC84;1;RF;;;;;;;;75
Controle EC1413;2;RF;;;;;;;;75
Controle pH5;3;RF;;;;;;;;75
OEP-pH-EC 0.1M;4;PB;;0,1;;;;;;75
OEP-pH-EC 0.1M;5;PB;;0,1;;;;;;75
OEP-pH-EC 0.1M;6;RF;;0,1;;;;;;75
OEP-pH-EC 0.1M;7;RF;;0,1;;;;;;75
OEP-pH-EC 0.1M;8;RF;;0,1;;;;;;75
OEP-pH-EC 0.1M;9;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;10;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;11;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;12;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;13;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;14;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;15;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;16;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;17;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;18;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;19;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;20;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;1;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;2;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;3;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;4;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;5;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;6;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;7;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;8;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;9;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;10;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;11;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;12;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;13;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;14;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;15;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;16;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;17;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;18;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;19;SP;;0,1;;;;;;75
OEP-pH-EC 0.1M;20;SP;;0,1;;;;;;75
