Method;Ident;Sample type;Position;Status;Geen titel;Dilution;Geen titel;Project;Batch;Uitvoerder;Lege kolom;Position Cat Std;No of Rinse Cycles
INBO - AnCat with MiDT;PB;Sample;1;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 2;2;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 20;2;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 50;3;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 500;3;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 501;4;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 502;5;1;20;2;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;6;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;7;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;8;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;9;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;10;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;11;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;12;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;13;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;14;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;15;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;16;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;17;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;18;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;19;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;20;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;21;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;22;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;23;1;20;1;1;;;;;1;3
