Method;Ident;Sample type;Position;Status;Geen titel;Dilution;Geen titel;Project;Batch;Uitvoerder;Lege kolom;Position Cat Std;No of Rinse Cycles
INBO - AnCat with MiDT;SP;Sample;24;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;25;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;PB;Sample;26;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 2;27;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 20;27;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 50;28;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 500;28;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;29;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;30;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;31;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;32;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;33;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;34;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;35;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;36;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;37;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;38;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;39;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;40;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;41;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;42;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;43;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;44;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;45;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;46;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;47;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;48;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;PB;Sample;49;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 2;50;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 20;50;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 50;51;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 500;51;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;52;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;53;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;54;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;55;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;56;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;57;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;58;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;59;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;60;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;61;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;62;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;63;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;64;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;65;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;66;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;67;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;68;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;69;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;70;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;SP;Sample;71;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;PB;Sample;72;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 2;73;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 20;73;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 50;74;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 500;74;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 501;75;1;20;1;1;;;;;1;3
INBO - AnCat with MiDT;RF;Check standard 502;76;1;20;2;1;;;;;1;3
