Method;Positie;Staal ID;Projectnummer;Titer;NA;NA;NA;NA;NA;Volume (ml)
Controle EC84;1;RF;;;;;;;;75
Controle EC1413;2;RF;;;;;;;;75
Controle pH5;3;RF;;;;;;;;75
OEP-pH-EC;4;PB;;0,01;;;;;;75
OEP-pH-EC;5;PB;;0,01;;;;;;75
OEP-pH-EC;6;RF;;0,01;;;;;;75
OEP-pH-EC;7;RF;;0,01;;;;;;75
OEP-pH-EC;8;RF;;0,01;;;;;;75
OEP-pH-EC;9;SP;;0,01;;;;;;75
OEP-pH-EC;10;SP;;0,01;;;;;;75
OEP-pH-EC;11;SP;;0,01;;;;;;75
OEP-pH-EC;12;SP;;0,01;;;;;;75
OEP-pH-EC;13;SP;;0,01;;;;;;75
OEP-pH-EC;14;SP;;0,01;;;;;;75
OEP-pH-EC;15;SP;;0,01;;;;;;75
OEP-pH-EC;16;SP;;0,01;;;;;;75
OEP-pH-EC;17;SP;;0,01;;;;;;75
OEP-pH-EC;18;SP;;0,01;;;;;;75
OEP-pH-EC;19;SP;;0,01;;;;;;75
OEP-pH-EC;20;SP;;0,01;;;;;;75
OEP-pH-EC;1;SP;;0,01;;;;;;75
OEP-pH-EC;2;SP;;0,01;;;;;;75
OEP-pH-EC;3;SP;;0,01;;;;;;75
OEP-pH-EC;4;SP;;0,01;;;;;;75
OEP-pH-EC;5;SP;;0,01;;;;;;75
OEP-pH-EC;6;SP;;0,01;;;;;;75
OEP-pH-EC;7;SP;;0,01;;;;;;75
OEP-pH-EC;8;SP;;0,01;;;;;;75
OEP-pH-EC;9;SP;;0,01;;;;;;75
OEP-pH-EC;10;SP;;0,01;;;;;;75
OEP-pH-EC;11;SP;;0,01;;;;;;75
OEP-pH-EC;12;SP;;0,01;;;;;;75
OEP-pH-EC;13;SP;;0,01;;;;;;75
OEP-pH-EC;14;SP;;0,01;;;;;;75
OEP-pH-EC;15;SP;;0,01;;;;;;75
OEP-pH-EC;16;SP;;0,01;;;;;;75
OEP-pH-EC;17;SP;;0,01;;;;;;75
OEP-pH-EC;18;SP;;0,01;;;;;;75
OEP-pH-EC;19;SP;;0,01;;;;;;75
OEP-pH-EC;20;SP;;0,01;;;;;;75
OEP-pH-EC;1;SP;;0,01;;;;;;75
OEP-pH-EC;2;SP;;0,01;;;;;;75
OEP-pH-EC;3;SP;;0,01;;;;;;75
OEP-pH-EC;4;PB;;0,01;;;;;;75
OEP-pH-EC;5;RF;;0,01;;;;;;75
OEP-pH-EC;6;RF;;0,01;;;;;;75
OEP-pH-EC;7;RF;;0,01;;;;;;75
Controle EC84;8;RF;;;;;;;;75
Controle EC1413;9;RF;;;;;;;;75
Controle pH5;10;RF;;;;;;;;75
Controle EC84;11;RF;;;;;;;;75
Controle EC1412;1;RF;;;;;;;;75
Controle pH5;13;RF;;;;;;;;75
OEP-pH-EC;14;PB;;0,01;;;;;;75
OEP-pH-EC;15;PB;;0,01;;;;;;75
OEP-pH-EC;16;RF;;0,01;;;;;;75
OEP-pH-EC;17;RF;;0,01;;;;;;75
OEP-pH-EC;18;RF;;0,01;;;;;;75
OEP-pH-EC;19;SP;;0,01;;;;;;75
OEP-pH-EC;20;SP;;0,01;;;;;;75
OEP-pH-EC;1;SP;;0,01;;;;;;75
OEP-pH-EC;2;SP;;0,01;;;;;;75
OEP-pH-EC;3;SP;;0,01;;;;;;75
OEP-pH-EC;4;SP;;0,01;;;;;;75
OEP-pH-EC;5;SP;;0,01;;;;;;75
OEP-pH-EC;6;SP;;0,01;;;;;;75
OEP-pH-EC;7;SP;;0,01;;;;;;75
OEP-pH-EC;8;SP;;0,01;;;;;;75
OEP-pH-EC;9;SP;;0,01;;;;;;75
OEP-pH-EC;10;SP;;0,01;;;;;;75
OEP-pH-EC;11;SP;;0,01;;;;;;75
OEP-pH-EC;12;SP;;0,01;;;;;;75
OEP-pH-EC;13;SP;;0,01;;;;;;75
OEP-pH-EC;14;SP;;0,01;;;;;;75
OEP-pH-EC;15;SP;;0,01;;;;;;75
OEP-pH-EC;16;SP;;0,01;;;;;;75
OEP-pH-EC;17;SP;;0,01;;;;;;75
OEP-pH-EC;18;SP;;0,01;;;;;;75
OEP-pH-EC;19;SP;;0,01;;;;;;75
OEP-pH-EC;20;SP;;0,01;;;;;;75
OEP-pH-EC;1;SP;;0,01;;;;;;75
OEP-pH-EC;2;SP;;0,01;;;;;;75
OEP-pH-EC;3;SP;;0,01;;;;;;75
OEP-pH-EC;4;SP;;0,01;;;;;;75
OEP-pH-EC;5;SP;;0,01;;;;;;75
OEP-pH-EC;6;SP;;0,01;;;;;;75
OEP-pH-EC;7;SP;;0,01;;;;;;75
OEP-pH-EC;8;SP;;0,01;;;;;;75
OEP-pH-EC;9;SP;;0,01;;;;;;75
OEP-pH-EC;10;SP;;0,01;;;;;;75
OEP-pH-EC;11;SP;;0,01;;;;;;75
OEP-pH-EC;12;SP;;0,01;;;;;;75
OEP-pH-EC;13;SP;;0,01;;;;;;75
OEP-pH-EC;14;PB;;0,01;;;;;;75
OEP-pH-EC;15;RF;;0,01;;;;;;75
OEP-pH-EC;16;RF;;0,01;;;;;;75
OEP-pH-EC;17;RF;;0,01;;;;;;75
Controle EC84;18;RF;;;;;;;;75
Controle EC1413;19;RF;;;;;;;;75
Controle pH5;20;RF;;;;;;;;75
