Method;Positie;Staal ID;Projectnummer;Titer;NA;NA;NA;NA;NA;Volume (ml)
Controle EC84;1;RF;;;;;;;;75
Controle pH5;2;RF;;;;;;;;75
TEP-pH-EC;3;PB;;0,01;;;;;;75
TEP-pH-EC;4;PB;;0,01;;;;;;75
TEP-pH-EC;5;RF;;0,01;;;;;;75
TEP-pH-EC;6;RF;;0,01;;;;;;75
TEP-pH-EC;7;SP;;0,01;;;;;;75
TEP-pH-EC;8;SP;;0,01;;;;;;75
TEP-pH-EC;9;SP;;0,01;;;;;;75
TEP-pH-EC;10;SP;;0,01;;;;;;75
TEP-pH-EC;11;SP;;0,01;;;;;;75
TEP-pH-EC;12;SP;;0,01;;;;;;75
TEP-pH-EC;13;SP;;0,01;;;;;;75
TEP-pH-EC;14;SP;;0,01;;;;;;75
TEP-pH-EC;15;SP;;0,01;;;;;;75
TEP-pH-EC;16;SP;;0,01;;;;;;75
TEP-pH-EC;17;SP;;0,01;;;;;;75
TEP-pH-EC;18;SP;;0,01;;;;;;75
TEP-pH-EC;19;SP;;0,01;;;;;;75
TEP-pH-EC;20;SP;;0,01;;;;;;75
TEP-pH-EC;1;SP;;0,01;;;;;;75
TEP-pH-EC;2;SP;;0,01;;;;;;75
TEP-pH-EC;3;SP;;0,01;;;;;;75
TEP-pH-EC;4;SP;;0,01;;;;;;75
TEP-pH-EC;5;SP;;0,01;;;;;;75
TEP-pH-EC;6;SP;;0,01;;;;;;75
TEP-pH-EC;7;SP;;0,01;;;;;;75
TEP-pH-EC;8;SP;;0,01;;;;;;75
TEP-pH-EC;9;SP;;0,01;;;;;;75
TEP-pH-EC;10;SP;;0,01;;;;;;75
TEP-pH-EC;11;SP;;0,01;;;;;;75
TEP-pH-EC;12;SP;;0,01;;;;;;75
TEP-pH-EC;13;SP;;0,01;;;;;;75
TEP-pH-EC;14;SP;;0,01;;;;;;75
TEP-pH-EC;15;SP;;0,01;;;;;;75
TEP-pH-EC;16;SP;;0,01;;;;;;75
TEP-pH-EC;17;SP;;0,01;;;;;;75
TEP-pH-EC;18;SP;;0,01;;;;;;75
TEP-pH-EC;19;SP;;0,01;;;;;;75
TEP-pH-EC;20;SP;;0,01;;;;;;75
TEP-pH-EC;1;SP;;0,01;;;;;;75
TEP-pH-EC;2;SP;;0,01;;;;;;75
TEP-pH-EC;3;SP;;0,01;;;;;;75
TEP-pH-EC;4;SP;;0,01;;;;;;75
TEP-pH-EC;5;SP;;0,01;;;;;;75
TEP-pH-EC;6;PB;;0,01;;;;;;75
TEP-pH-EC;7;RF;;0,01;;;;;;75
TEP-pH-EC;8;RF;;0,01;;;;;;75
Controle EC84;9;RF;;;;;;;;75
Controle pH5;10;RF;;;;;;;;75
Controle EC84;1;RF;;;;;;;;75
Controle pH5;2;RF;;;;;;;;75
TEP-pH-EC;3;PB;;0,01;;;;;;75
TEP-pH-EC;4;PB;;0,01;;;;;;75
TEP-pH-EC;5;RF;;0,01;;;;;;75
TEP-pH-EC;6;RF;;0,01;;;;;;75
TEP-pH-EC;7;SP;;0,01;;;;;;75
TEP-pH-EC;8;SP;;0,01;;;;;;75
TEP-pH-EC;9;SP;;0,01;;;;;;75
TEP-pH-EC;10;SP;;0,01;;;;;;75
TEP-pH-EC;11;SP;;0,01;;;;;;75
TEP-pH-EC;12;SP;;0,01;;;;;;75
TEP-pH-EC;13;SP;;0,01;;;;;;75
TEP-pH-EC;14;SP;;0,01;;;;;;75
TEP-pH-EC;15;SP;;0,01;;;;;;75
TEP-pH-EC;16;SP;;0,01;;;;;;75
TEP-pH-EC;17;SP;;0,01;;;;;;75
TEP-pH-EC;18;SP;;0,01;;;;;;75
TEP-pH-EC;19;SP;;0,01;;;;;;75
TEP-pH-EC;20;SP;;0,01;;;;;;75
TEP-pH-EC;1;SP;;0,01;;;;;;75
TEP-pH-EC;2;SP;;0,01;;;;;;75
TEP-pH-EC;3;SP;;0,01;;;;;;75
TEP-pH-EC;4;SP;;0,01;;;;;;75
TEP-pH-EC;5;SP;;0,01;;;;;;75
TEP-pH-EC;6;SP;;0,01;;;;;;75
TEP-pH-EC;7;SP;;0,01;;;;;;75
TEP-pH-EC;8;SP;;0,01;;;;;;75
TEP-pH-EC;9;SP;;0,01;;;;;;75
TEP-pH-EC;10;SP;;0,01;;;;;;75
TEP-pH-EC;11;SP;;0,01;;;;;;75
TEP-pH-EC;12;SP;;0,01;;;;;;75
TEP-pH-EC;13;SP;;0,01;;;;;;75
TEP-pH-EC;14;SP;;0,01;;;;;;75
TEP-pH-EC;15;SP;;0,01;;;;;;75
TEP-pH-EC;16;SP;;0,01;;;;;;75
TEP-pH-EC;17;SP;;0,01;;;;;;75
TEP-pH-EC;18;SP;;0,01;;;;;;75
TEP-pH-EC;19;SP;;0,01;;;;;;75
TEP-pH-EC;20;SP;;0,01;;;;;;75
TEP-pH-EC;1;SP;;0,01;;;;;;75
TEP-pH-EC;2;SP;;0,01;;;;;;75
TEP-pH-EC;3;SP;;0,01;;;;;;75
TEP-pH-EC;4;SP;;0,01;;;;;;75
TEP-pH-EC;5;SP;;0,01;;;;;;75
TEP-pH-EC;6;PB;;0,01;;;;;;75
TEP-pH-EC;7;RF;;0,01;;;;;;75
TEP-pH-EC;8;RF;;0,01;;;;;;75
Controle EC84;9;RF;;;;;;;;75
Controle pH5;10;RF;;;;;;;;75
