Method;Positie;Staal ID;Projectnummer;Titer;NA;NA;NA;NA;NA;Volume (ml)
Controle EC84;1;RF;;;;;;;;75
Controle EC1413;2;RF;;;;;;;;75
Controle pH5;3;RF;;;;;;;;75
OEP-pH-EC 0.01M;4;PB;;0,01;;;;;;75
OEP-pH-EC 0.01M;5;PB;;0,01;;;;;;75
OEP-pH-EC 0.01M;6;RF;;0,01;;;;;;75
OEP-pH-EC 0.01M;7;RF;;0,01;;;;;;75
OEP-pH-EC 0.01M;8;RF;;0,01;;;;;;75
OEP-pH-EC 0.01M;9;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;10;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;11;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;12;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;13;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;14;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;15;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;16;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;17;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;18;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;19;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;20;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;1;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;2;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;3;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;4;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;5;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;6;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;7;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;8;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;9;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;10;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;11;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;12;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;13;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;14;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;15;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;16;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;17;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;18;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;19;SP;;0,01;;;;;;75
OEP-pH-EC 0.01M;20;SP;;0,01;;;;;;75
