Positie;Type;SampleID;Projectnummer
A99;U;BL;blanco
A99;U;BL;blanco
A99;U;BL;blanco
A99;U;BL;blanco
A99;U;BL;blanco
A99;U;BL;blanco
A99;U;BL;blanco
A99;U;BL;blanco
A99;U;BL;blanco
A1;U;ST;
A2;U;ST;
A3;U;PB;
A4;U;RF;
A5;U;SP;
A6;U;SP;
A7;U;SP;
A8;U;SP;
A9;U;SP;
A10;U;SP;
A11;U;SP;
A12;U;SP;
A13;U;SP;
A14;U;SP;
A15;U;SP;
A16;U;SP;
A17;U;SP;
A18;U;SP;
A19;U;SP;
A20;U;SP;
A21;U;SP;
A22;U;SP;
A23;U;SP;
A24;U;SP;
A25;U;SP;
A26;U;SP;
A27;U;PB;
A28;U;RF;
A29;U;SP;
A30;U;SP;
A31;U;SP;
A32;U;SP;
A33;U;SP;
A34;U;SP;
A35;U;SP;
A36;U;SP;
A37;U;SP;
A38;U;SP;
A39;U;SP;
A40;U;SP;
A41;U;SP;
A42;U;SP;
A43;U;SP;
A44;U;SP;
A45;U;SP;
A46;U;SP;
A47;U;SP;
A48;U;SP;
A49;U;SP;
A50;U;SP;
A51;U;PB;
A52;U;RF;
A53;U;SP;
A54;U;SP;
A55;U;SP;
A56;U;SP;
A57;U;SP;
A58;U;SP;
A59;U;SP;
A60;U;SP;
A61;U;SP;
A62;U;SP;
A63;U;SP;
A64;U;SP;
A65;U;SP;
A66;U;SP;
A67;U;SP;
A68;U;SP;
A69;U;SP;
A70;U;SP;
A71;U;SP;
A72;U;SP;
A73;U;SP;
A74;U;SP;
A75;U;PB;
A76;U;RF;
A77;U;ST;
A78;U;ST;
